COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|R|U|AL|L|S|TOTAL|
AND|AUBURN|1-1|2|20|62|5|617|130|394|618|0|0|0|1759|
AND|AUBURN|1-1|2|20|64|5|126|18|124|146|0|0|0|414|
AND|AUBURN|1-1|2|20|64|6|327|40|322|377|0|0|0|1066|
AND|AUBURN|2-1|2|20|62|5|202|37|118|260|0|0|0|617|
AND|AUBURN|2-1|2|20|64|5|618|87|400|645|0|0|0|1750|
AND|AUBURN|2-1|2|20|64|6|333|29|286|387|0|0|0|1035|
AND|AUBURN|3-1|2|20|62|5|215|41|114|257|0|0|0|627|
AND|AUBURN|3-1|2|20|63|5|278|28|279|314|0|0|0|899|
AND|AUBURN|3-1|2|20|63|6|401|42|374|517|0|0|0|1334|
AND|AUBURN|3-1|2|20|64|6|96|11|90|121|0|1|0|319|
AND|AUBURN|4-1|2|20|62|5|280|48|128|280|0|1|0|737|
AND|AUBURN|4-1|2|20|63|5|191|30|143|242|0|0|0|606|
AND|AUBURN|4-1|2|20|63|6|407|59|452|489|0|0|0|1407|
AND|AUBURN|5-1|2|20|62|5|377|67|196|485|0|0|0|1125|
AND|AUBURN|5-1|2|20|63|5|446|73|327|534|0|0|0|1380|
AND|AUBURN|5-1|2|20|63|6|158|36|184|323|0|0|0|701|
AND|DURHAM|1-1|2|22|46|3|899|201|1020|1364|0|0|0|3484|
AND|GREENE|1-1|2|22|57|3|866|204|1023|1245|0|0|0|3338|
AND|LEEDS|1-1|2|22|75|7|480|110|498|656|0|0|0|1744|
AND|LEWISTON|1-1|2|21|59|2|799|91|376|579|0|0|0|1845|
AND|LEWISTON|1-1|2|21|60|2|1457|126|322|1006|0|0|0|2911|
AND|LEWISTON|2-1|2|21|59|2|1539|170|956|1220|0|1|0|3886|
AND|LEWISTON|3-1|2|21|59|2|648|40|112|344|0|0|0|1144|
AND|LEWISTON|3-1|2|21|60|1|1673|234|417|1522|0|0|0|3846|
AND|LEWISTON|4-1|2|21|58|1|170|22|116|111|0|0|0|419|
AND|LEWISTON|4-1|2|21|58|2|388|57|185|346|0|0|0|976|
AND|LEWISTON|4-1|2|21|58|3|416|54|269|375|0|0|0|1114|
AND|LEWISTON|4-1|2|21|59|2|342|60|201|287|0|0|0|890|
AND|LEWISTON|5-1|2|21|60|2|278|49|150|259|0|0|0|736|
